trip_uuid,data,trip_creation_time,route_schedule_uuid,route_type,source_center,source_name,destination_center,destination_name,od_start_time,od_end_time,start_scan_to_end_scan,is_cutoff,cutoff_factor,cutoff_timestamp,actual_distance_to_destination,actual_time,osrm_time,osrm_distance,factor,segment_actual_time,segment_osrm_time,segment_osrm_distance,segment_factor,num_stops,source_hub,destination_hub,intermediate_hub,corridor,shipment_priority,vehicle_type,vehicle_speed_factor,delivery_time_hrs,actual_delivery_time,route_distance,delay_minutes,promised_delivery_time,sla_breach,shipment_datetime,hour_of_day,day_of_week_num,day_of_week,month,is_weekend,is_peak_hour,quarter,time_of_day,weather_condition,weather_risk,priority_rank,hub_load,hub_capacity,traffic_level,congestion_score,route_id,avg_delay_per_route,route_volume,base_speed,est_travel_hrs,delay_ratio,traffic_weather_interaction,distance_congestion,stops_delay_interaction,capacity_utilization,sla_margin_hrs,shipment_id,source_hub_enc,destination_hub_enc,weather_condition_enc,route_type_enc,shipment_priority_enc,route_id_enc,vehicle_type_enc,corridor_enc,time_of_day_enc,day_of_week_enc,route_distance_norm,traffic_level_norm,hub_load_norm,num_stops_norm,congestion_score_norm,avg_delay_per_route_norm,est_travel_hrs_norm,weather_risk_norm,priority_rank_norm
trip-153671041653548748,training,2018-09-12 00:00:16.535741,thanos::sroute:d7c989ba-a29b-4a0b-b2f4-288cdc60074b,FTL,IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),2018-09-12 16:39:46.858469,2018-09-13 13:40:23.123744,1260.0,False,383,2018-09-13 01:18:26,383.7591641179105,732.0,329.0,446.5496,2.2249240121580547,20.0,10.0,15.0693,2.0,39,Lucknow,Delhi,,UP Corridor,Standard,FTL Truck,1.0,12.2,12.2,383.8,403.0,72,0,2018-09-12 00:00:16.535741,0,2,Wednesday,9,0,0,3,Night,Heavy Rain,4,2,0.564,2000,0.465,0.505,Lucknow_Delhi,361.17,294,65,5.905,1.134,1.86,193.82,15717.0,1128.0,59.8,trip-153671041653548748,12,6,2,1,3,166,1,7,4,6,0.19537114261884905,0.4055555555555556,0.45499999999999996,0.38,0.4203747072599532,0.2062649914334666,0.19370501154420752,0.75,0.3333333333333333
trip-153671042288605164,training,2018-09-12 00:00:22.886430,thanos::sroute:3a1b0ab2-bb0b-4c53-8c59-eb2a2c0d68b9,Carting,IND561203AAB,Doddablpur_ChikaDPP_D (Karnataka),IND562101AAA,Chikblapur_ShntiSgr_D (Karnataka),2018-09-12 02:03:09.655591,2018-09-12 03:01:59.598855,58.0,False,24,2018-09-12 02:11:39.065776,24.644020982116984,47.0,26.0,28.1994,1.807692307692308,15.0,7.0,6.9464,2.142857142857143,9,Bangalore,Bangalore,,General Network,Express,Express Van,1.15,0.783,0.783,24.6,21.0,48,0,2018-09-12 00:00:22.886430,0,2,Wednesday,9,0,0,3,Night,Storm,5,3,0.908,4200,0.322,0.556,Bangalore_Bangalore,51.87,2031,45,0.547,0.621,1.61,13.68,189.0,3814.0,47.217,trip-153671042288605164,1,1,4,0,1,14,0,1,4,6,0.008131776480400334,0.2466666666666667,0.885,0.08,0.4800936768149884,0.029623072529982867,0.01178188238489746,1.0,0.6666666666666667
trip-153671043369099517,training,2018-09-12 00:00:33.691250,thanos::sroute:de5e208e-7641-45e6-8100-4d9fb1e5720d,FTL,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),2018-09-14 03:40:17.106733,2018-09-14 17:34:55.442454,834.0,False,237,2018-09-14 07:18:47,237.43961043502964,611.0,212.0,281.21090000000004,2.8820754716981134,275.0,28.0,32.8506,9.821428571428571,89,Delhi,Chandigarh,,General Network,Economy,FTL Truck,1.0,10.183,10.183,237.4,399.0,120,0,2018-09-12 00:00:33.691250,0,2,Wednesday,9,0,0,3,Night,Storm,5,1,1.0,4800,0.661,0.797,Delhi_Chandigarh,231.23,113,65,3.652,1.813,3.305,189.21,35511.0,4800.0,109.817,trip-153671043369099517,6,3,4,1,0,79,1,1,4,6,0.11905754795663052,0.6233333333333334,1.0,0.88,0.7622950819672132,0.13205596801827527,0.11720765992122775,1.0,0.0
trip-153671046011330457,training,2018-09-12 00:01:00.113710,thanos::sroute:f0176492-a679-4597-8332-bbd1c7f9f442,Carting,IND400072AAB,Mumbai Hub (Maharashtra),IND401104AAA,Mumbai_MiraRd_IP (Maharashtra),2018-09-12 00:01:00.113710,2018-09-12 01:41:29.809822,100.0,False,17,2018-09-12 00:37:55,17.175274247902713,59.0,15.0,19.68,3.933333333333333,36.0,7.0,7.9091,5.142857142857143,2,Mumbai,Mumbai,,General Network,Express,Express Van,1.15,0.983,0.983,17.2,44.0,48,0,2018-09-12 00:01:00.113710,0,2,Wednesday,9,0,0,3,Night,Storm,5,3,0.947,5000,0.906,0.922,Mumbai_Mumbai,85.41,1888,45,0.382,1.839,4.53,15.86,88.0,4735.0,47.017,trip-153671046011330457,13,13,4,0,1,189,0,1,4,6,0.004274395329441201,0.8955555555555557,0.9337499999999999,0.01,0.908665105386417,0.04877784123358081,0.006179546380551406,1.0,0.6666666666666667
trip-153671052974046625,training,2018-09-12 00:02:09.740725,thanos::sroute:d9f07b12-65e0-4f3b-bec8-df0613461b0f,FTL,IND583119AAA,Sandur_WrdN1DPP_D (Karnataka),IND583101AAA,Bellary_Dc (Karnataka),2018-09-12 03:54:43.114421,2018-09-12 12:00:30.683231,485.0,False,41,2018-09-12 03:57:33,41.31761356841047,131.0,44.0,53.5761,2.977272727272727,79.0,26.0,29.0538,3.0384615384615383,7,Bangalore,Bangalore,,General Network,Standard,FTL Truck,1.0,2.183,2.183,41.3,87.0,72,0,2018-09-12 00:02:09.740725,0,2,Wednesday,9,0,0,3,Night,Storm,5,2,0.908,4200,0.673,0.767,Bangalore_Bangalore,51.87,2031,65,0.635,2.225,3.365,31.68,609.0,3814.0,69.817,trip-153671052974046625,1,1,4,1,3,14,1,1,4,6,0.01683694745621351,0.6366666666666667,0.885,0.060000000000000005,0.7271662763466042,0.029623072529982867,0.01476979492054869,1.0,0.3333333333333333
trip-153671055416136166,training,2018-09-12 00:02:34.161600,thanos::sroute:9bf03170-d0a2-4a3f-aa4d-9aaab3d98af4,Carting,IND600056AAA,Chennai_Poonamallee (Tamil Nadu),IND602105AAB,Chennai_Sriperumbudur_Dc (Tamil Nadu),2018-09-12 02:12:10.755603,2018-09-12 03:13:03.432532,60.0,False,15,2018-09-12 02:21:33,15.325528649269916,40.0,12.0,16.2225,3.333333333333333,8.0,5.0,6.0919,1.6,3,Chennai,Chennai,,General Network,Express,Express Van,1.15,0.667,0.667,15.3,28.0,48,0,2018-09-12 00:02:34.161600,0,2,Wednesday,9,0,0,3,Night,Rain,3,3,0.516,3500,0.723,0.64,Chennai_Chennai,44.7,863,45,0.34,1.308,2.169,9.79,84.0,1806.0,47.333,trip-153671055416136166,4,4,3,0,1,56,0,1,4,6,0.003283986655546289,0.6922222222222222,0.395,0.019999999999999997,0.5784543325526932,0.025528269560251286,0.004753497215808774,0.5,0.6666666666666667
trip-153671066201138152,training,2018-09-12 00:04:22.011653,thanos::sroute:a97698cc-846e-41a7-916b-88b17412610c,Carting,IND600044AAD,Chennai_Chrompet_DPC (Tamil Nadu),IND600048AAA,Chennai_Vandalur_Dc (Tamil Nadu),2018-09-12 00:04:22.011653,2018-09-12 01:42:22.349694,98.0,True,9,2018-09-12 00:43:26,9.100509891191914,24.0,13.0,12.0184,1.8461538461538465,24.0,13.0,12.0184,1.8461538461538465,1,Chennai,Chennai,,General Network,Express,Express Van,1.15,0.4,0.4,9.1,11.0,48,0,2018-09-12 00:04:22.011653,0,2,Wednesday,9,0,0,3,Night,Storm,5,3,0.516,3500,0.314,0.395,Chennai_Chennai,44.7,863,45,0.202,0.838,1.57,3.59,11.0,1806.0,47.6,trip-153671066201138152,4,4,4,0,1,56,0,1,4,6,5.212677231025871e-05,0.2377777777777778,0.395,0.0,0.29156908665105385,0.025528269560251286,6.790710308298298e-05,1.0,0.6666666666666667
trip-153671066826362165,training,2018-09-12 00:04:28.263977,thanos::sroute:d5b71ae9-a11a-4f52-bcb7-274b65e2c513,Carting,IND560064AAD,Bengaluru_Bagaluru_D (Karnataka),IND560043AAC,HBR Layout PC (Karnataka),2018-09-12 01:42:40.156332,2018-09-12 03:00:55.163423,78.0,False,12,2018-09-12 02:17:32,12.352947778699786,39.0,16.0,15.077,2.4375,6.0,3.0,3.5428,2.0,4,Bangalore,Bangalore,,General Network,Express,Express Van,1.15,0.65,0.65,12.4,23.0,48,0,2018-09-12 00:04:28.263977,0,2,Wednesday,9,0,0,3,Night,Rain,3,3,0.908,4200,0.488,0.656,Bangalore_Bangalore,51.87,2031,45,0.276,1.31,1.464,8.13,92.0,3814.0,47.35,trip-153671066826362165,1,1,3,0,1,14,0,1,4,6,0.001772310258548791,0.43111111111111117,0.885,0.03,0.5971896955503513,0.029623072529982867,0.0025804699171533343,0.5,0.6666666666666667
trip-153671074033284934,training,2018-09-12 00:05:40.333071,thanos::sroute:a0e60427-16ad-4b17-b3b0-6a0664355ae1,Carting,IND395009AAA,Surat_Central_D_12 (Gujarat),IND395023AAD,Surat_Central_I_4 (Gujarat),2018-09-12 02:31:39.246238,2018-09-12 05:16:28.581141,164.0,False,12,2018-09-12 02:49:54,12.264924443306896,128.0,16.0,17.0225,8.0,10.0,5.0,4.5107,2.0,4,Surat,Surat,,General Network,Express,Express Van,1.15,2.133,2.133,12.3,112.0,48,0,2018-09-12 00:05:40.333071,0,2,Wednesday,9,0,0,3,Night,Rain,3,3,0.278,1800,1.0,0.711,Surat_Surat,78.88,80,45,0.273,6.444,3.0,8.75,448.0,500.0,45.867,trip-153671074033284934,17,17,3,0,1,253,0,1,4,6,0.0017201834862385322,1.0,0.09750000000000003,0.03,0.6615925058548009,0.04504854368932039,0.002478609262528861,0.5,0.6666666666666667
trip-153671079956500691,training,2018-09-12 00:06:39.565253,thanos::sroute:a10888ff-f794-41e1-9b7a-7f62ef663dda,Carting,IND110024AAA,Delhi_Lajpat_IP (Delhi),IND110014AAA,Delhi_Bhogal (Delhi),2018-09-12 00:06:39.565253,2018-09-12 00:55:59.568645,49.0,False,9,2018-09-12 00:10:27,9.872145670751877,23.0,8.0,9.9566,2.875,11.0,6.0,6.082,1.8333333333333333,2,Delhi,Delhi,,General Network,Express,Express Van,1.15,0.383,0.383,9.9,15.0,48,0,2018-09-12 00:06:39.565253,0,2,Wednesday,9,0,0,3,Night,Heavy Rain,4,3,1.0,4800,0.567,0.74,Delhi_Delhi,69.92,1843,45,0.22,1.056,2.268,7.33,30.0,4800.0,47.617,trip-153671079956500691,6,6,2,0,1,82,0,1,4,6,0.0004691409507923275,0.5188888888888888,1.0,0.01,0.6955503512880562,0.03993146773272416,0.0006790710308298246,0.75,0.6666666666666667
