shipment_id,source_hub,destination_hub,intermediate_hub,corridor,route_id,route_type,vehicle_type,route_distance,traffic_level,weather_condition,congestion_score,num_stops,hub_load,hub_capacity,shipment_priority,time_of_day,day_of_week,actual_delivery_time,promised_delivery_time,delivery_time_hrs,delay_minutes,sla_breach,shipment_datetime
SHP00001,Chennai,Mumbai,Surat,General Network,Chennai_Mumbai,Rural,Carting Vehicle,473,0.76,Cloudy,0.752,4,0.74,3500,Express,Evening Rush,Thursday,24.574,19.325,24.574,633.6,0,2024-04-11 19:00:00
SHP00002,Mumbai,Pune,,Mumbai-Pune Expressway,Mumbai_Pune,Expressway,Carting Vehicle,483,0.29,Rain,0.498,0,0.81,5000,Same-Day,Evening Rush,Tuesday,11.379,12.228,11.379,276.0,0,2024-01-23 20:00:00
SHP00003,Indore,Bangalore,Ahmedabad,General Network,Indore_Bangalore,Mixed,Container,1031,0.27,Rain,0.266,5,0.26,1400,Same-Day,Midday,Friday,32.279,24.0,32.279,723.8,1,2024-07-05 11:00:00
SHP00004,Jaipur,Bangalore,,General Network,Jaipur_Bangalore,Mixed,Container,1225,0.76,Storm,0.588,3,0.33,2200,Express,Midday,Monday,79.413,33.523,79.413,3323.6,1,2024-01-29 13:00:00
SHP00005,Surat,Bhopal,,General Network,Surat_Bhopal,Rural,Container,2149,0.89,Clear,0.714,5,0.45,1800,Express,Afternoon,Wednesday,91.434,48.0,91.434,2115.1,1,2024-10-02 14:00:00
SHP00006,Bhopal,Vadodara,Chandigarh,General Network,Bhopal_Vadodara,Expressway,Carting Vehicle,538,0.56,Rain,0.444,0,0.27,1200,Express,Evening Rush,Friday,14.56,12.505,14.56,420.6,0,2024-02-02 18:00:00
SHP00007,Coimbatore,Jaipur,,General Network,Coimbatore_Jaipur,Mixed,Container,554,0.78,Clear,0.792,2,0.81,900,Standard,Midday,Friday,19.662,16.175,19.662,527.9,0,2024-09-13 11:00:00
SHP00008,Chennai,Surat,Jaipur,General Network,Chennai_Surat,Mixed,Carting Vehicle,2252,0.44,Fog,0.396,6,0.33,3500,Express,Afternoon,Thursday,95.8,48.0,95.8,2745.3,1,2024-07-04 15:00:00
SHP00009,Kochi,Bangalore,,General Network,Kochi_Bangalore,Highway,FTL Truck,635,0.98,Storm,0.84,1,0.63,800,Economy,Midday,Thursday,35.391,15.176,35.391,1647.2,0,2024-10-03 12:00:00
SHP00010,Indore,Nagpur,Delhi,General Network,Indore_Nagpur,Expressway,FTL Truck,2362,0.32,Fog,0.292,0,0.25,1400,Economy,Midday,Wednesday,52.519,36.153,52.519,1659.4,0,2024-01-31 13:00:00
SHP00011,Surat,Bangalore,,General Network,Surat_Bangalore,Mixed,Mini Truck,2470,0.29,Cloudy,0.298,4,0.31,1800,Same-Day,Evening Rush,Sunday,53.971,24.0,53.971,493.8,1,2024-06-30 19:00:00
